"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
121193,6,1,"LOCAL","front","dark","light","small",22,"injured","NO",47,"Licensed",45,16.67
121207,2,2,"highway","front","light","mod","small",79,"dead","NO",60,"Licensed",60,100.00
121219,3,1,"LOCAL","front","light","light","small",24,"injured","Yes",65,"Licensed",65,33.33
121224,3,1,"LOCAL","front","dark","light","LORRY",26,"dead","Yes",90,"Licensed",70,33.33
121228,8,1,"LOCAL","front","dark","light","small",35,"dead","NO",40,"Licensed",35,12.50
121232,4,1,"LOCAL","front","dark","light","small",84,"dead","NO",40,"Licensed",45,25.00
121244,2,1,"LOCAL","front","light","light","small",45,"injured","NO",71,"Licensed",55,50.00
121246,5,1,"LOCAL","front","light","light","small",33,"injured","NO",77,"Licensed",70,20.00
121254,6,1,"LOCAL","side","light","light","small",25,"injured","NO",40,"No Lic",40,16.67
121259,6,1,"LOCAL","front","light","light","small",34,"injured","NO",40,"Licensed",40,16.67
121265,5,1,"highway","front","light","light","small",84,"injured","NO",50,"Licensed",45,20.00
121275,2,1,"LOCAL","front","light","light","small",31,"dead","NO",45,"Licensed",45,50.00
121311,5,1,"highway","rear","dark","mod","small",31,"injured","Yes",70,"Licensed",40,20.00
121315,2,1,"highway","front","light","light","small",72,"dead","NO",45,"Licensed",45,50.00
121317,3,1,"highway","front","dark","light","small",41,"injured","Yes",40,"Licensed",40,33.33
121326,2,1,"LOCAL","front","light","light","small",87,"dead","NO",55,"Licensed",55,50.00
121329,3,1,"highway","front","light","light","small",74,"dead","NO",35,"Licensed",35,33.33
121331,2,1,"LOCAL","front","dark","light","small",18,"injured","NO",65,"Licensed",65,50.00
121359,3,1,"LOCAL","front","light","light","small",26,"injured","NO",55,"Licensed",55,33.33
121362,3,1,"highway","front","dark","light","small",40,"injured","Yes",60,"Licensed",30,33.33
121376,3,1,"LOCAL","front","dark","light","small",22,"dead","NO",60,"Licensed",60,33.33
121389,3,1,"LOCAL","side","light","light","small",70,"injured","NO",70,"Licensed",70,33.33
121391,8,1,"LOCAL","front","dark","light","small",22,"dead","NO",45,"Licensed",45,12.50
